directory,filename,format,size (MB)
F:\Backup\Datasets\Downloads\VG100\VG_100K,2368568.jpg,.jpg,0.17476940155029297
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2410125.jpg,.jpg,0.19562339782714844
F:\Backup\Datasets\Downloads\VG100\VG_100K,2325215.jpg,.jpg,0.20343017578125
F:\Identificação Vacas\Cow Database\imagens\56,1112.jpeg,.jpeg,0.45087337493896484
F:\Backup\Datasets\Downloads\VG100\VG_100K,2374848.jpg,.jpg,0.13941192626953125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2366020.jpg,.jpg,0.11945915222167969
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2389130.jpg,.jpg,0.11955070495605469
F:\Identificação Vacas\Cow Database\imagens\39,142.jpeg,.jpeg,0.45029449462890625
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2380723.jpg,.jpg,0.13650989532470703
F:\Backup\Datasets\Downloads\VG100\VG_100K,2332353.jpg,.jpg,0.15671348571777344
F:\Identificação Vacas\Cow Database\imagens\77,1490.jpeg,.jpeg,0.4590473175048828
